NodeLabel,X_mm,Y_mm,Z_mm
672,-9.0,4.0,0.0
673,-8.4,0.0,8.0
674,-8.4,0.5714286,8.0
675,-8.4,1.1428572,8.0
676,-8.4,1.7142857,8.0
677,-8.4,2.2857144,8.0
678,-8.4,2.857143,8.0
679,-8.4,3.4285715,8.0
680,-8.4,4.0,8.0
681,-8.4,0.0,7.3846154
682,-8.4,0.5714286,7.3846154
683,-8.4,1.1428572,7.3846154
684,-8.4,1.7142857,7.3846154
685,-8.4,2.2857144,7.3846154
686,-8.4,2.857143,7.3846154
687,-8.4,3.4285715,7.3846154
688,-8.4,4.0,7.3846154
689,-8.4,0.0,6.769231
690,-8.4,0.5714286,6.769231
691,-8.4,1.1428572,6.769231
692,-8.4,1.7142857,6.769231
693,-8.4,2.2857144,6.769231
694,-8.4,2.857143,6.769231
695,-8.4,3.4285715,6.769231
696,-8.4,4.0,6.769231
697,-8.4,0.0,6.1538463
698,-8.4,0.5714286,6.1538463
699,-8.4,1.1428572,6.1538463
700,-8.4,1.7142857,6.1538463
701,-8.4,2.2857144,6.1538463
702,-8.4,2.857143,6.1538463
703,-8.4,3.4285715,6.1538463
704,-8.4,4.0,6.1538463
705,-8.4,0.0,5.5384617
706,-8.4,0.5714286,5.5384617
707,-8.4,1.1428572,5.5384617
708,-8.4,1.7142857,5.5384617
709,-8.4,2.2857144,5.5384617
710,-8.4,2.857143,5.5384617
711,-8.4,3.4285715,5.5384617
712,-8.4,4.0,5.5384617
713,-8.4,0.0,4.923077
714,-8.4,0.5714286,4.923077
715,-8.4,1.1428572,4.923077
716,-8.4,1.7142857,4.923077
717,-8.4,2.2857144,4.923077
718,-8.4,2.857143,4.923077
719,-8.4,3.4285715,4.923077
720,-8.4,4.0,4.923077
721,-8.4,0.0,4.3076925
722,-8.4,0.5714286,4.3076925
723,-8.4,1.1428572,4.3076925
724,-8.4,1.7142857,4.3076925
725,-8.4,2.2857144,4.3076925
726,-8.4,2.857143,4.3076925
727,-8.4,3.4285715,4.3076925
728,-8.4,4.0,4.3076925
729,-8.4,0.0,3.6923077
730,-8.4,0.5714286,3.6923077
731,-8.4,1.1428572,3.6923077
732,-8.4,1.7142857,3.6923077
733,-8.4,2.2857144,3.6923077
734,-8.4,2.857143,3.6923077
735,-8.4,3.4285715,3.6923077
736,-8.4,4.0,3.6923077
737,-8.4,0.0,3.0769231
738,-8.4,0.5714286,3.0769231
739,-8.4,1.1428572,3.0769231
740,-8.4,1.7142857,3.0769231
741,-8.4,2.2857144,3.0769231
742,-8.4,2.857143,3.0769231
743,-8.4,3.4285715,3.0769231
744,-8.4,4.0,3.0769231
745,-8.4,0.0,2.4615386
746,-8.4,0.5714286,2.4615386
747,-8.4,1.1428572,2.4615386
748,-8.4,1.7142857,2.4615386
749,-8.4,2.2857144,2.4615386
750,-8.4,2.857143,2.4615386
751,-8.4,3.4285715,2.4615386
752,-8.4,4.0,2.4615386
753,-8.4,0.0,1.8461539
754,-8.4,0.5714286,1.8461539
755,-8.4,1.1428572,1.8461539
756,-8.4,1.7142857,1.8461539
757,-8.4,2.2857144,1.8461539
758,-8.4,2.857143,1.8461539
759,-8.4,3.4285715,1.8461539
760,-8.4,4.0,1.8461539
761,-8.4,0.0,1.2307693
762,-8.4,0.5714286,1.2307693
763,-8.4,1.1428572,1.2307693
764,-8.4,1.7142857,1.2307693
765,-8.4,2.2857144,1.2307693
766,-8.4,2.857143,1.2307693
767,-8.4,3.4285715,1.2307693
768,-8.4,4.0,1.2307693
769,-8.4,0.0,0.61538464
770,-8.4,0.5714286,0.61538464
771,-8.4,1.1428572,0.61538464
772,-8.4,1.7142857,0.61538464
