ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
116,1,-2.0927771e-05,2.3027753e-06,6.519656e-05,0.0002450189,0.0001051053,-1.13607075e-05
117,1,-2.9252224e-05,-9.344481e-06,4.836496e-05,-0.0002382037,8.496434e-05,-1.0667975e-05
118,1,-3.151018e-05,7.157202e-05,3.0458255e-05,0.00041232648,7.371408e-05,-7.615482e-06
119,1,3.8839557e-05,-2.954476e-05,1.1600139e-05,0.000145334,8.816274e-05,-3.1451393e-06
120,1,-4.3624036e-06,3.6652353e-05,0.00011478816,-0.00017302515,8.390206e-05,-2.0941834e-06
121,1,-4.1469707e-06,-0.00010965212,0.00010915322,8.8053945e-05,8.501564e-05,-9.393934e-06
122,1,-1.8420576e-05,2.8868593e-05,9.57772e-05,-0.0005149475,7.9193254e-05,-1.341752e-05
123,1,-2.1305597e-05,-2.2467555e-06,7.9920275e-05,0.00025888454,7.12449e-05,-1.3718342e-05
124,1,-3.1365533e-05,-1.2970451e-05,6.309814e-05,-0.00022780744,6.561783e-05,-1.2637669e-05
125,1,-3.2337717e-05,6.681827e-05,4.449214e-05,0.00041860156,6.283965e-05,-8.876692e-06
126,1,3.264028e-05,-3.3724715e-05,2.4206565e-05,0.00014626306,7.1924616e-05,-3.592886e-06
127,1,-1.213195e-05,3.1512056e-05,0.00013259835,-0.000186117,3.8834827e-05,-4.2997317e-06
128,1,-3.6170577e-06,-0.00011292328,0.00012052571,8.5212334e-05,3.920231e-05,-7.982818e-06
129,1,-1.8376923e-05,2.4969091e-05,0.00010750902,-0.00050429354,3.9224284e-05,-9.047516e-06
130,1,-2.348698e-05,-4.8242787e-06,9.1218426e-05,0.00026035018,3.6985533e-05,-9.535858e-06
131,1,-3.2145897e-05,-1.560912e-05,7.295085e-05,-0.00021819699,3.3499044e-05,-8.277383e-06
132,1,-3.4807024e-05,6.349049e-05,5.4698736e-05,0.00042202402,3.5059315e-05,-5.9412496e-06
133,1,3.2931348e-05,-3.7144622e-05,3.8239807e-05,0.00014712958,4.5805766e-05,-2.311349e-06
134,1,-4.2228558e-06,3.0320361e-05,0.00013222534,-0.00017220188,-4.767184e-08,2.4768312e-08
135,1,-5.183971e-06,-0.00011508165,0.00012638129,8.958827e-05,-5.992474e-08,6.087636e-08
136,1,-1.991564e-05,2.4158777e-05,0.00011179972,-0.00050818303,-3.7147963e-08,8.780619e-08
137,1,-2.307917e-05,-6.112173e-06,9.4508345e-05,0.0002659279,-5.235094e-09,1.0467074e-07
138,1,-3.2997094e-05,-1.6270647e-05,7.652446e-05,-0.00021713204,1.3120385e-08,9.434004e-08
139,1,-3.4134035e-05,6.2159605e-05,5.842336e-05,0.00042290054,4.9826934e-08,7.6839704e-08
140,1,2.922382e-05,-3.844706e-05,4.0143063e-05,0.00014772383,8.561258e-08,2.3481864e-08
141,1,-1.2136185e-05,3.1541753e-05,0.00013259964,-0.0001861482,-3.902057e-05,4.3325454e-06
142,1,-3.612822e-06,-0.000112947004,0.00012052187,8.5277854e-05,-3.92998e-05,8.0977625e-06
143,1,-1.8374913e-05,2.4980545e-05,0.00010750542,-0.0005043956,-3.9289673e-05,9.222054e-06
144,1,-2.348956e-05,-4.8228094e-06,9.1216265e-05,0.00026040117,-3.700274e-05,9.736026e-06
145,1,-3.214326e-05,-1.5611595e-05,7.295031e-05,-0.00021825374,-3.3469063e-05,8.462686e-06
146,1,-3.4809374e-05,6.3493004e-05,5.4697695e-05,0.00042202615,-3.4962763e-05,6.089709e-06
147,1,3.2930697e-05,-3.7142632e-05,3.8234455e-05,0.00014711721,-4.562765e-05,2.3600026e-06
