ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
101,1,-1.6343614e-06,6.144149e-05,1.73202e-05,-0.00047231794,5.8271846e-05,1.1673191e-05
102,1,-5.1100274e-06,1.226027e-05,1.2762746e-05,0.00025957995,5.265328e-05,6.566895e-06
103,1,-1.5354923e-05,1.0140631e-05,6.621631e-06,-0.00020840029,4.5870554e-05,1.0105533e-05
104,1,-2.1449094e-05,7.6246e-05,-8.362805e-07,0.00038534947,1.45017e-05,7.5759876e-06
105,1,4.6139256e-05,-2.198316e-05,-1.2546961e-05,0.000121392455,-1.5248676e-06,3.2034452e-06
106,1,1.34572265e-05,4.9274655e-05,5.6642162e-05,-0.00017790412,0.0001602161,9.6328495e-06
107,1,9.251949e-06,-9.336617e-05,5.8236546e-05,3.869331e-05,0.00013863095,5.850999e-06
108,1,-1.4614423e-05,4.793927e-05,5.0788924e-05,-0.00048277425,0.00013176833,-5.1087665e-07
109,1,-1.3691205e-05,3.246384e-06,4.1919182e-05,0.00025532037,0.00011575765,-1.5369053e-06
110,1,-2.2301057e-05,-2.6238092e-06,3.1303764e-05,-0.00022426581,8.6705986e-05,-2.787442e-06
111,1,-2.5155054e-05,7.337073e-05,1.5542328e-05,0.0003829464,6.445335e-05,7.933681e-07
112,1,4.1751042e-05,-2.7330156e-05,-4.5202555e-06,0.000117297044,4.27802e-05,1.2985165e-06
113,1,-9.801267e-06,3.960098e-05,0.00010302027,-0.00018968117,0.00013229538,-6.2245676e-06
114,1,-2.788697e-06,-0.000100992256,8.658696e-05,4.1398005e-05,0.00013489346,-6.7001747e-06
115,1,-2.4098323e-05,3.7969534e-05,7.860212e-05,-0.00047539608,0.000126569,-8.558431e-06
116,1,-2.3319668e-05,-3.7603816e-06,6.6778295e-05,0.00026108327,0.000108001455,-1.2889018e-05
117,1,-2.6914417e-05,-9.225415e-06,5.012422e-05,-0.00020771835,8.7090055e-05,-1.1985699e-05
118,1,-3.0504318e-05,6.73815e-05,3.230209e-05,0.0003893845,7.568552e-05,-8.619803e-06
119,1,3.8528513e-05,-3.2397304e-05,1.29832615e-05,0.000120653734,8.96087e-05,-3.6255008e-06
120,1,-2.0725538e-06,3.128927e-05,0.000114272974,-0.00017681252,8.9325586e-05,-2.4003575e-06
121,1,-6.3318744e-06,-0.000109943416,0.000109844324,4.2557444e-05,8.9728e-05,-1.0438135e-05
122,1,-2.7411106e-05,3.264838e-05,9.708838e-05,-0.0004712347,8.286416e-05,-1.4817436e-05
123,1,-2.4238947e-05,-8.496167e-06,8.1761755e-05,0.00027630685,7.406885e-05,-1.5012894e-05
124,1,-2.956653e-05,-1.3465278e-05,6.52542e-05,-0.00019655169,6.766587e-05,-1.3958925e-05
125,1,-3.17224e-05,6.222166e-05,4.679196e-05,0.00039735853,6.4226726e-05,-9.914713e-06
126,1,3.1612715e-05,-3.740888e-05,2.6891186e-05,0.00012253028,7.4446674e-05,-3.9937395e-06
127,1,-1.0564056e-05,2.57124e-05,0.00013224545,-0.00019016274,4.1991705e-05,-4.6736222e-06
128,1,-5.7702573e-06,-0.000113602095,0.000121152785,4.0398183e-05,4.1421987e-05,-8.731364e-06
129,1,-2.747073e-05,2.8446932e-05,0.000108942084,-0.000459748,4.1071162e-05,-9.876765e-06
130,1,-2.6599359e-05,-1.1297978e-05,9.310099e-05,0.00027846405,3.838697e-05,-1.0426381e-05
131,1,-3.0485013e-05,-1.6254955e-05,7.521446e-05,-0.0001856482,3.4573826e-05,-9.076364e-06
132,1,-3.4388377e-05,5.843108e-05,5.7281835e-05,0.00040159846,3.5963294e-05,-6.5546556e-06
133,1,3.194258e-05,-4.1276355e-05,4.0884388e-05,0.0001237036,4.673637e-05,-2.5744368e-06
